,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
SYCP2L,0.9992,0.0008000000000000229,7.13008602021168,2.3189688e-07,1.7465565e-05,0.0,0.25,-6.548064,-6.5962186,1.8428857,-13.617262,3.7601738,0.0,0.041025642,0.0,0.035897435897435895,0.0,0.13152955,True,NK cell vs cDC,NK cell,cDC,3.096910013008044
HLA-DRB1,0.999,0.0010000000000000009,6.906744788708563,0.0014151612,0.028389838,0.0,0.25,-4.701319,-4.779232,1.4516723,-9.297428,5.759365,0.9081712,76.54359,0.421011673151751,0.9846153846153847,11.660372,268.20972,True,NK cell vs cDC,NK cell,cDC,2.9999999999999996
CD8A,0.9988,0.0011999999999999789,6.724224678325084,0.0012125358,1.1650888e-05,0.0,0.25,7.2562304,7.434578,2.1786554,-2.6563663,14.488672,0.8412451,0.025641026,0.4140077821011673,0.02564102564102564,12.074999,0.088445716,True,NK cell vs cDC,NK cell,cDC,2.920818753952383
GPER1,0.9986,0.0013999999999999568,6.569874928627714,4.4854852e-07,1.37520465e-05,0.0,0.25,-5.1619735,-5.2255945,1.35406,-10.185837,2.0908222,0.0,0.041025642,0.0,0.041025641025641026,0.0,0.21098338,True,NK cell vs cDC,NK cell,cDC,2.853871964321775
WNT1,0.9984,0.0016000000000000458,6.4361441284049565,1.004424e-05,1.27008e-07,0.0,0.25,6.857801,7.0267296,1.6892753,-2.016842,11.455817,0.007782101,0.0,0.007782101167315175,0.0,0.100077175,0.0,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
LRRK1,0.9984,0.0016000000000000458,6.4361441284049565,4.4774124e-06,9.9605146e-05,0.0,0.25,-4.7241726,-4.7713985,1.2636175,-9.47316,4.0174484,0.0023346303,0.20512821,0.0023346303501945525,0.1794871794871795,0.024217712,0.7517876,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
CD1E,0.9984,0.0016000000000000458,6.4361441284049565,2.5653037e-07,0.000125075,0.0,0.25,-9.030878,-9.342882,2.2819073,-16.191158,3.7859154,0.0,0.32307693,0.0,0.18974358974358974,0.0,1.0967216,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
HLA-DRA,0.9984,0.0016000000000000458,6.4361441284049565,0.0014429364,0.043583263,0.0,0.25,-5.327748,-5.433894,1.3724005,-8.936136,4.833392,0.9151751,123.68205,0.4,0.9948717948717949,11.125638,435.87396,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
FZD1,0.9984,0.0016000000000000458,6.4361441284049565,7.7209165e-07,4.2194948e-05,0.0,0.25,-5.848623,-5.989503,1.4929849,-10.999665,3.822712,0.0,0.12307692,0.0,0.1076923076923077,0.0,0.47418216,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
C1orf127,0.9982,0.0018000000000000238,6.318161446611285,1.7130266e-07,6.209031e-06,0.0,0.25,-5.403835,-5.45172,1.3731422,-10.015408,4.0221043,0.0,0.010256411,0.0,0.010256410256410256,0.0,0.029907346,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
CACNA2D3,0.9982,0.0018000000000000238,6.318161446611285,8.847954e-06,0.00042588907,0.0,0.25,-5.7669706,-5.9019895,1.8537983,-11.018521,5.826125,0.0038910506,1.0564103,0.0038910505836575876,0.5743589743589743,0.06166202,3.609837,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
LAMP5,0.9982,0.0018000000000000238,6.318161446611285,9.565169e-07,4.8367092e-05,0.0,0.25,-6.161932,-6.1925983,2.0339544,-13.357763,5.354845,0.0007782101,0.11794872,0.0007782101167315176,0.09743589743589744,0.0023078592,0.44889447,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
TVP23A,0.9982,0.0018000000000000238,6.318161446611285,1.8411447e-07,1.232878e-05,0.0,0.25,-5.991103,-6.1694765,1.9004414,-12.106257,1.8130741,0.0,0.015384615,0.0,0.015384615384615385,0.0,0.042789586,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
TIFAB,0.998,0.0020000000000000018,6.212601105784058,1.1564897e-06,8.72967e-05,0.0,0.25,-6.4925985,-6.660797,1.9763305,-12.54248,3.1756344,0.0007782101,0.25128207,0.0007782101167315176,0.18974358974358974,0.014766796,0.82129276,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
PACERR,0.998,0.0020000000000000018,6.212601105784058,1.8651029e-07,1.1513273e-05,0.0,0.25,-6.3348594,-6.503713,1.998494,-13.289733,7.375969,0.0,0.03076923,0.0,0.03076923076923077,0.0,0.101158865,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
RAB7B,0.998,0.0020000000000000018,6.212601105784058,8.3285386e-08,1.408188e-05,0.0,0.25,-6.97337,-6.9576283,2.333665,-15.475446,4.641714,0.0,0.046153847,0.0,0.035897435897435895,0.0,0.09509003,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
CLEC1A,0.998,0.0020000000000000018,6.212601105784058,1.4870889e-07,3.580019e-06,0.0,0.25,-4.9478197,-5.013036,1.6326221,-9.993761,6.0104656,0.0,0.010256411,0.0,0.010256410256410256,0.0,0.033056434,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
SLAMF9,0.998,0.0020000000000000018,6.212601105784058,9.942904e-08,1.6630007e-05,0.0,0.25,-7.617769,-7.7923265,1.8550606,-12.80995,4.3918953,0.0,0.051282052,0.0,0.046153846153846156,0.0,0.19245903,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
BCAT1,0.998,0.0020000000000000018,6.212601105784058,1.0301327e-06,2.8378243e-05,0.0,0.25,-5.1591353,-5.2095265,1.7004575,-10.773425,3.0634766,0.0,0.08717949,0.0,0.08717948717948718,0.0,0.3501503,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
PKIB,0.9978,0.0021999999999999797,6.11709095964051,6.1420394e-07,0.00015701428,0.0,0.25,-7.977889,-8.303336,2.1334171,-14.732759,1.6573601,0.0,0.4051282,0.0,0.2564102564102564,0.0,1.4003356,True,NK cell vs cDC,NK cell,cDC,2.657577319177798
CPED1,0.9978,0.0021999999999999797,6.11709095964051,1.1957495e-06,5.652343e-05,0.0,0.25,-6.066197,-6.1554613,1.6641479,-11.718399,4.402728,0.0015564202,0.16410257,0.0015564202334630351,0.14358974358974358,0.007841553,0.5747042,True,NK cell vs cDC,NK cell,cDC,2.657577319177798
MFSD2A,0.9978,0.0021999999999999797,6.11709095964051,2.156354e-06,6.236214e-05,0.0,0.25,-5.1353254,-5.2013135,1.5226728,-10.562341,2.5593176,0.0,0.16410257,0.0,0.14358974358974358,0.0,0.622779,True,NK cell vs cDC,NK cell,cDC,2.657577319177798
GAS6,0.9976,0.0023999999999999577,6.029879500378016,3.2875746e-06,0.00019708247,0.0,0.25,-5.8949327,-6.064219,1.6605785,-11.488961,2.7247648,0.0015564202,0.4871795,0.0015564202334630351,0.3128205128205128,0.029578172,1.692757,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
HAAO,0.9976,0.0023999999999999577,6.029879500378016,1.9077604e-06,7.421653e-05,0.0,0.25,-5.5757565,-5.67755,1.4272386,-9.531971,3.7519674,0.0007782101,0.17948718,0.0007782101167315176,0.15897435897435896,0.0045035305,0.68023956,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
CD3G,0.9976,0.0023999999999999577,6.029879500378016,0.0014775652,2.7976925e-05,0.0,0.25,7.37431,7.5106654,2.69943,-5.1701174,16.01502,1.0770428,0.051282052,0.553307392996109,0.041025641025641026,15.027167,0.325038,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
ADORA1,0.9976,0.0023999999999999577,6.029879500378016,2.1633925e-07,2.0804058e-05,0.0,0.25,-7.0524774,-7.1667314,1.9658326,-14.228015,5.404106,0.0,0.056410257,0.0,0.05641025641025641,0.0,0.21128286,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
LINC02724,0.9976,0.0023999999999999577,6.029879500378016,3.772635e-07,1.3610302e-05,0.0,0.25,-5.443712,-5.487338,1.6598939,-11.529931,4.165434,0.0,0.025641026,0.0,0.020512820512820513,0.0,0.075818256,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
AC005162.3,0.9976,0.0023999999999999577,6.029879500378016,2.1132837e-06,3.2790886e-05,0.0,0.25,-4.132548,-4.253519,1.312486,-7.8962975,4.830448,0.0007782101,0.082051285,0.0007782101167315176,0.07692307692307693,0.012653823,0.28120738,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
HLA-A,0.9976,0.0023999999999999577,6.029879500378016,0.02067195,0.006787195,0.0,0.25,1.6018503,1.6287925,0.3656464,-0.13577938,2.8657608,16.423346,19.517948,0.9945525291828794,0.9948717948717949,237.73602,73.51061,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
RNASE3,0.9974,0.0026000000000000467,5.949636611964186,2.058592e-07,8.555712e-06,0.0,0.25,-5.5749545,-5.6926394,1.6955588,-12.356876,2.3608303,0.0,0.020512821,0.0,0.020512820512820513,0.0,0.08506594,True,NK cell vs cDC,NK cell,cDC,2.5850266520291743
AL589863.2,0.9974,0.0026000000000000467,5.949636611964186,2.4652908e-07,7.459323e-06,0.0,0.25,-5.1772103,-5.274905,1.6068558,-11.00823,3.4476414,0.0,0.020512821,0.0,0.015384615384615385,0.0,0.052382454,True,NK cell vs cDC,NK cell,cDC,2.5850266520291743
ST14,0.9974,0.0026000000000000467,5.949636611964186,7.109017e-06,0.00017451418,0.0,0.25,-4.950481,-5.033172,1.4902922,-11.135705,5.140806,0.0023346303,0.46666667,0.0023346303501945525,0.37948717948717947,0.03784265,1.623262,True,NK cell vs cDC,NK cell,cDC,2.5850266520291743
HLA-C,0.9972,0.0028000000000000247,5.875328373074121,0.014959579,0.0054109357,0.0,0.25,1.4672774,1.5069866,0.33711493,-0.2167244,2.5743346,11.729183,16.441025,0.9953307392996109,0.9897435897435898,169.66795,61.044422,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
GPR84,0.9972,0.0028000000000000247,5.875328373074121,1.9203303e-07,1.8460209e-05,0.0,0.25,-6.7493978,-6.949359,2.1370978,-14.215724,5.1806717,0.0,0.056410257,0.0,0.05128205128205128,0.0,0.20819934,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
MYCL,0.9972,0.0028000000000000247,5.875328373074121,4.6177615e-06,0.00017581784,0.0,0.25,-5.556275,-5.610645,1.4574534,-11.5509405,4.193616,0.0046692607,0.43589744,0.004669260700389105,0.3128205128205128,0.045938876,1.3266145,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
CCSER1,0.9972,0.0028000000000000247,5.875328373074121,3.3834453e-06,0.00010884398,0.0,0.25,-5.418704,-5.5148754,1.9010625,-11.444807,3.4745026,0.0015564202,0.31282052,0.0015564202334630351,0.2564102564102564,0.015620817,1.0571434,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
APOC1,0.9972,0.0028000000000000247,5.875328373074121,2.2006665e-07,5.062652e-05,0.0,0.25,-7.757924,-8.05109,2.2837708,-15.050912,2.6416683,0.0,0.14871795,0.0,0.13333333333333333,0.0,0.48008087,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
STAC3,0.997,0.0030000000000000027,5.8061351579960405,1.342604e-05,0.00012252011,0.0,0.25,-3.2706707,-3.3056955,1.0073395,-7.3769608,3.0937815,0.007782101,0.31282052,0.007782101167315175,0.26153846153846155,0.1161153,1.1514845,True,NK cell vs cDC,NK cell,cDC,2.5228787452803374
CBFA2T3,0.9968,0.0031999999999999806,5.741396223264499,7.760692e-06,0.00015912567,0.0,0.25,-4.617098,-4.6631727,1.4246283,-9.984245,4.00926,0.0023346303,0.43076923,0.0023346303501945525,0.3333333333333333,0.028715821,1.4118286,True,NK cell vs cDC,NK cell,cDC,2.494850021680097
B2M,0.9968,0.0031999999999999806,5.741396223264499,0.1079115,0.034727406,0.0,0.25,1.6449904,1.6798911,0.36331472,-0.5412259,2.91639,78.807785,88.097435,1.0,1.0,1152.0294,336.90924,True,NK cell vs cDC,NK cell,cDC,2.494850021680097
NEGR1,0.9968,0.0031999999999999806,5.741396223264499,6.327428e-07,2.2890754e-05,0.0,0.25,-5.529796,-5.6483765,1.7900825,-11.599481,3.6898804,0.0,0.06666667,0.0,0.06153846153846154,0.0,0.19860882,True,NK cell vs cDC,NK cell,cDC,2.494850021680097
CD74,0.9966,0.0033999999999999586,5.680571123087171,0.005623516,0.064577945,0.0,0.25,-3.6608837,-3.765473,1.1905012,-7.4615526,4.670468,3.8396888,178.08717,0.8809338521400778,1.0,52.735317,619.4353,True,NK cell vs cDC,NK cell,cDC,2.46852108295775
FCER1A,0.9966,0.0033999999999999586,5.680571123087171,1.9590541e-05,0.0052370783,0.0,0.25,-8.042147,-8.408922,2.4996734,-14.938484,3.795558,0.019455252,12.384615,0.010894941634241245,0.8,0.1974553,44.347527,True,NK cell vs cDC,NK cell,cDC,2.46852108295775
LHFPL6,0.9966,0.0033999999999999586,5.680571123087171,2.575246e-07,1.5535283e-05,0.0,0.25,-6.146807,-6.3504343,2.0592241,-12.517923,4.2187233,0.0,0.03076923,0.0,0.03076923076923077,0.0,0.10250499,True,NK cell vs cDC,NK cell,cDC,2.46852108295775
SDS,0.9966,0.0033999999999999586,5.680571123087171,4.2129722e-07,3.817858e-05,0.0,0.25,-6.34298,-6.586767,1.8917296,-11.619542,2.5315285,0.0,0.10769231,0.0,0.09230769230769231,0.0,0.39277712,True,NK cell vs cDC,NK cell,cDC,2.46852108295775
TAFA1,0.9964,0.0036000000000000476,5.623212170188158,1.1353586e-05,2.8915298e-07,0.0,0.25,5.354359,5.30816,2.1485484,-2.2096863,13.473078,0.007782101,0.0,0.007782101167315175,0.0,0.09510565,0.0,True,NK cell vs cDC,NK cell,cDC,2.443697499232707
NDC80,0.9964,0.0036000000000000476,5.623212170188158,3.7814047e-05,1.7100334e-06,0.0,0.25,4.928582,5.0158887,1.6865348,-2.380355,10.261065,0.029571984,0.0051282053,0.02801556420233463,0.005128205128205128,0.43637407,0.019344417,True,NK cell vs cDC,NK cell,cDC,2.443697499232707
NKG7,0.9964,0.0036000000000000476,5.623212170188158,0.017190365,0.00016047466,0.0,0.25,7.1752954,7.360659,2.515366,-6.120015,14.1688,13.005447,0.8,0.933852140077821,0.4256410256410256,188.17744,2.9869928,True,NK cell vs cDC,NK cell,cDC,2.443697499232707
ZNF366,0.9962,0.0038000000000000256,5.568944352369496,5.292234e-07,3.906977e-05,0.0,0.25,-6.113035,-6.325599,1.7627447,-10.703588,3.0189857,0.0007782101,0.11282051,0.0007782101167315176,0.09743589743589744,0.020976014,0.35207996,True,NK cell vs cDC,NK cell,cDC,2.4202164033831868
HTR7,0.9962,0.0038000000000000256,5.568944352369496,1.6942805e-07,1.7461247e-05,0.0,0.25,-7.0209045,-7.2412314,2.243977,-15.719954,4.5846767,0.0,0.051282052,0.0,0.046153846153846156,0.0,0.16382599,True,NK cell vs cDC,NK cell,cDC,2.4202164033831868
HDAC2-AS2,0.9962,0.0038000000000000256,5.568944352369496,8.3946344e-07,8.326408e-06,0.0,0.25,-3.5807981,-3.5719318,1.3573545,-9.1314945,3.5142689,0.0007782101,0.03076923,0.0007782101167315176,0.03076923076923077,0.005040221,0.0905293,True,NK cell vs cDC,NK cell,cDC,2.4202164033831868
AC134312.5,0.9962,0.0038000000000000256,5.568944352369496,5.1078695e-07,3.0980344e-05,0.0,0.25,-6.0670533,-6.211052,2.1039202,-12.843942,3.8836136,0.0007782101,0.082051285,0.0007782101167315176,0.06666666666666667,0.00992615,0.2938401,True,NK cell vs cDC,NK cell,cDC,2.4202164033831868
HLA-E,0.9962,0.0038000000000000256,5.568944352369496,0.0073921653,0.0019532489,0.0,0.25,1.9439358,1.9780123,0.47520217,-0.5404177,3.4654274,5.4754863,5.2,0.9758754863813229,0.9538461538461539,79.41258,19.506186,True,NK cell vs cDC,NK cell,cDC,2.4202164033831868
SEZ6L,0.9962,0.0038000000000000256,5.568944352369496,9.237716e-07,3.2387226e-05,0.0,0.25,-5.547158,-5.6380863,1.9266089,-13.043403,5.2676105,0.0,0.092307694,0.0,0.08717948717948718,0.0,0.38782552,True,NK cell vs cDC,NK cell,cDC,2.4202164033831868
TPPP3,0.996,0.0040000000000000036,5.517450406507993,4.531349e-06,0.0001591584,0.0,0.25,-5.3790264,-5.499198,1.9608516,-11.993611,6.5093327,0.0038910506,0.45641026,0.0038910505836575876,0.2205128205128205,0.023253981,1.9117362,True,NK cell vs cDC,NK cell,cDC,2.397940008672037
AC023813.3,0.9958,0.0041999999999999815,5.468459538011395,1.0873131e-07,2.2123397e-06,0.0,0.25,-4.4320316,-4.45638,1.5938736,-10.248884,4.4995937,0.0,0.0,0.0,0.0,0.0,0.0,True,NK cell vs cDC,NK cell,cDC,2.3767507096021014
GPR42,0.9958,0.0041999999999999815,5.468459538011395,1.706486e-07,2.3692676e-06,0.0,0.25,-4.180181,-4.219386,1.6618944,-10.898869,4.7452583,0.0,0.010256411,0.0,0.010256410256410256,0.0,0.033181425,True,NK cell vs cDC,NK cell,cDC,2.3767507096021014
AC019069.1,0.9958,0.0041999999999999815,5.468459538011395,9.464763e-07,1.6099402e-05,0.0,0.25,-4.4643025,-4.4921627,1.6805933,-10.183621,2.1965618,0.0,0.035897437,0.0,0.03076923076923077,0.0,0.10459643,True,NK cell vs cDC,NK cell,cDC,2.3767507096021014
AL118508.1,0.9956,0.0043999999999999595,5.421738766888735,3.1739552e-07,7.5303437e-06,0.0,0.25,-4.803238,-4.8394337,1.812529,-10.779175,4.999527,0.0,0.020512821,0.0,0.010256410256410256,0.0,0.04249787,True,NK cell vs cDC,NK cell,cDC,2.3565473235138166
SPINT1,0.9952,0.0048000000000000265,5.334325730788133,1.2513874e-05,0.00011765263,0.0,0.25,-3.2791402,-3.3055148,1.1692749,-7.6206083,2.2804394,0.006225681,0.34871796,0.0062256809338521405,0.27692307692307694,0.09375852,1.2309219,True,NK cell vs cDC,NK cell,cDC,2.3187587626244106
PSAT1,0.9952,0.0048000000000000265,5.334325730788133,1.7138565e-05,1.2580749e-06,0.0,0.25,4.1472154,4.2416615,1.6811041,-4.2368374,9.453265,0.015564202,0.0,0.014007782101167316,0.0,0.15070155,0.0,True,NK cell vs cDC,NK cell,cDC,2.3187587626244106
CD3E,0.9952,0.0048000000000000265,5.334325730788133,0.0032896935,8.028632e-05,0.0,0.25,6.598601,6.738188,1.8896244,-3.4455795,12.546278,2.25214,0.15897436,0.7875486381322957,0.11282051282051282,32.723442,0.673135,True,NK cell vs cDC,NK cell,cDC,2.3187587626244106
DOCK5,0.9952,0.0048000000000000265,5.334325730788133,1.2357692e-05,0.00014258144,0.0,0.25,-3.9564843,-4.101803,1.5829587,-9.790615,6.4707403,0.0038910506,0.41025642,0.0038910505836575876,0.31794871794871793,0.052855942,1.5019381,True,NK cell vs cDC,NK cell,cDC,2.3187587626244106
AC041005.1,0.995,0.0050000000000000044,5.2933028347767435,3.615762e-07,1.1878603e-05,0.0,0.25,-5.1695967,-5.2724786,2.0272698,-11.937398,4.1087494,0.0,0.03076923,0.0,0.03076923076923077,0.0,0.088376686,True,NK cell vs cDC,NK cell,cDC,2.301029995663981
ADAP2,0.995,0.0050000000000000044,5.2933028347767435,1.1761419e-05,0.00010091095,0.0,0.25,-3.5242364,-3.5720983,1.3812652,-7.32619,6.1429214,0.006225681,0.2923077,0.0062256809338521405,0.24102564102564103,0.05681048,1.0736129,True,NK cell vs cDC,NK cell,cDC,2.301029995663981
CARD9,0.995,0.0050000000000000044,5.2933028347767435,7.674879e-06,0.00012188271,0.0,0.25,-4.3125587,-4.343781,1.464129,-10.768676,2.942234,0.0031128405,0.33846155,0.0031128404669260703,0.28205128205128205,0.02602465,1.1785455,True,NK cell vs cDC,NK cell,cDC,2.301029995663981
CD3D,0.9948,0.005199999999999982,5.253881173319069,0.0041701486,9.8624e-05,0.0,0.25,6.313452,6.706015,2.3348076,-4.8394585,12.951502,2.9307394,0.22051282,0.7455252918287938,0.17435897435897435,42.770058,1.0849618,True,NK cell vs cDC,NK cell,cDC,2.2839966563652023
FILNC1,0.9948,0.005199999999999982,5.253881173319069,6.341311e-07,5.2667297e-06,0.0,0.25,-3.3000007,-3.28928,1.4217232,-8.45249,6.140747,0.0,0.015384615,0.0,0.015384615384615385,0.0,0.048621073,True,NK cell vs cDC,NK cell,cDC,2.2839966563652023
SH3BP4,0.9948,0.005199999999999982,5.253881173319069,1.127269e-06,3.088123e-05,0.0,0.25,-5.14632,-5.253184,1.7434677,-10.726753,3.5299664,0.0,0.102564104,0.0,0.09230769230769231,0.0,0.3202137,True,NK cell vs cDC,NK cell,cDC,2.2839966563652023
LYZ,0.9946,0.00539999999999996,5.215939850914573,0.0012104168,0.046157632,0.0,0.25,-5.4401484,-5.6606784,1.4334495,-8.522398,7.126703,0.98210114,113.42051,0.41867704280155643,0.9692307692307692,10.950717,416.40024,True,NK cell vs cDC,NK cell,cDC,2.2676062401770345
C1orf54,0.9946,0.00539999999999996,5.215939850914573,1.333137e-05,0.00038255446,0.0,0.25,-4.1163993,-3.92773,1.8671964,-12.205435,2.8222017,0.009338521,1.2461538,0.00933852140077821,0.26666666666666666,0.13565814,3.5132563,True,NK cell vs cDC,NK cell,cDC,2.2676062401770345
IBA57-DT,0.9946,0.00539999999999996,5.215939850914573,4.4107512e-07,4.4069657e-06,0.0,0.25,-3.4333243,-3.49648,1.271714,-8.1517315,3.129654,0.0,0.015384615,0.0,0.015384615384615385,0.0,0.045814496,True,NK cell vs cDC,NK cell,cDC,2.2676062401770345
AF064858.1,0.9944,0.005600000000000049,5.179371166799013,5.25008e-07,7.254647e-06,0.0,0.25,-4.072082,-4.1110926,1.7336342,-10.858465,3.7901993,0.0007782101,0.020512821,0.0007782101167315176,0.020512820512820513,0.008235027,0.06481297,True,NK cell vs cDC,NK cell,cDC,2.2518119729937958
BTBD3,0.9942,0.005800000000000027,5.144078762030087,1.6910986e-06,1.2462016e-05,0.0,0.25,-3.074411,-3.0929666,1.0970912,-7.6399508,2.1097603,0.0007782101,0.025641026,0.0007782101167315176,0.020512820512820513,0.013190001,0.091679566,True,NK cell vs cDC,NK cell,cDC,2.236572006437061
SERPINF2,0.9942,0.005800000000000027,5.144078762030087,4.7205695e-06,7.5030504e-05,0.0,0.25,-4.048015,-3.9983034,1.846348,-10.700689,4.90617,0.0031128405,0.23589744,0.0031128404669260703,0.16923076923076924,0.036160562,0.8077173,True,NK cell vs cDC,NK cell,cDC,2.236572006437061
P2RY6,0.994,0.006000000000000005,5.1099760808236026,1.3591117e-06,6.661859e-05,0.0,0.25,-5.683716,-5.9010124,2.176681,-11.48221,3.5588436,0.0015564202,0.17948718,0.0015564202334630351,0.14871794871794872,0.013237777,0.52694494,True,NK cell vs cDC,NK cell,cDC,2.221848749616356
NAV1,0.9938,0.006199999999999983,5.076985084277639,2.8225006e-06,5.8717327e-05,0.0,0.25,-4.4088535,-4.5141597,1.6701945,-9.451898,2.001192,0.0023346303,0.17435898,0.0023346303501945525,0.14358974358974358,0.029681629,0.58169514,True,NK cell vs cDC,NK cell,cDC,2.2076083105017474
CACNB4,0.9938,0.006199999999999983,5.076985084277639,2.1554333e-06,1.5986061e-05,0.0,0.25,-3.0911152,-3.0832024,1.2066481,-7.7640276,2.801734,0.0007782101,0.046153847,0.0007782101167315176,0.035897435897435895,0.013463844,0.31242692,True,NK cell vs cDC,NK cell,cDC,2.2076083105017474
SCARB1,0.9936,0.006399999999999961,5.0450351683792265,7.3616757e-06,6.345823e-05,0.0,0.25,-3.445577,-3.4521532,1.3804306,-9.074706,4.21424,0.0023346303,0.13846155,0.0023346303501945525,0.13333333333333333,0.025783278,0.92711776,True,NK cell vs cDC,NK cell,cDC,2.1938200260161156
SIGLEC9,0.9934,0.00660000000000005,5.014062248556934,7.1794457e-06,9.309211e-05,0.0,0.25,-4.1344314,-4.308148,2.0473397,-9.95428,6.995264,0.005447471,0.25128207,0.005447470817120622,0.2205128205128205,0.06011056,0.9101753,True,NK cell vs cDC,NK cell,cDC,2.180456064458128
CD68,0.9934,0.00660000000000005,5.014062248556934,7.6056356e-05,0.00061217113,0.0,0.25,-3.3107245,-3.308176,1.4361687,-8.159039,5.462365,0.036575876,1.4051282,0.028793774319066146,0.6153846153846154,0.42294028,5.6336493,True,NK cell vs cDC,NK cell,cDC,2.180456064458128
MS4A4A,0.9934,0.00660000000000005,5.014062248556934,2.9882817e-06,5.32334e-05,0.0,0.25,-4.802392,-4.8629184,2.02641,-13.133367,5.2444143,0.0007782101,0.16923077,0.0007782101167315176,0.15897435897435896,0.0030327751,0.71185833,True,NK cell vs cDC,NK cell,cDC,2.180456064458128
GRIP1,0.9934,0.00660000000000005,5.014062248556934,3.8087373e-07,5.66067e-05,0.0,0.25,-7.299518,-7.620753,2.5667028,-15.300386,4.3464336,0.0,0.17435898,0.0,0.13846153846153847,0.0,0.5415951,True,NK cell vs cDC,NK cell,cDC,2.180456064458128
DOC2A,0.9932,0.006800000000000028,4.984007980933258,4.8080574e-07,5.023136e-06,0.0,0.25,-3.7038996,-3.7503452,1.4594117,-9.707125,3.0368652,0.0,0.015384615,0.0,0.015384615384615385,0.0,0.05087926,True,NK cell vs cDC,NK cell,cDC,2.167491087293762
STEAP3,0.993,0.007000000000000006,4.954819096489944,7.4847264e-07,1.7998726e-05,0.0,0.25,-4.9778986,-5.041374,2.1843636,-11.763942,4.617277,0.0,0.046153847,0.0,0.046153846153846156,0.0,0.17133962,True,NK cell vs cDC,NK cell,cDC,2.1549019599857426
HCST,0.993,0.007000000000000006,4.954819096489944,0.0066263345,0.0011275978,0.0,0.25,2.7670622,2.7770784,1.0349985,-1.8903861,5.774354,4.3167315,2.6974359,0.9431906614785992,0.8,62.763126,10.466606,True,NK cell vs cDC,NK cell,cDC,2.1549019599857426
JUP,0.993,0.007000000000000006,4.954819096489944,4.677765e-06,3.8502894e-05,0.0,0.25,-3.2995427,-3.3341293,1.3273779,-8.042698,3.6102924,0.0015564202,0.08717949,0.0015564202334630351,0.08205128205128205,0.013368656,0.40286955,True,NK cell vs cDC,NK cell,cDC,2.1549019599857426
CSF3R,0.993,0.007000000000000006,4.954819096489944,4.0586165e-05,0.000485915,0.0,0.25,-3.858893,-3.9707103,1.6087666,-8.959689,6.659111,0.024902724,1.2923077,0.02178988326848249,0.6615384615384615,0.3016112,5.4254465,True,NK cell vs cDC,NK cell,cDC,2.1549019599857426
SECTM1,0.993,0.007000000000000006,4.954819096489944,5.742333e-06,6.096646e-05,0.0,0.25,-3.7318356,-3.7675881,1.6468077,-10.431033,5.4711723,0.0046692607,0.16410257,0.0038910505836575876,0.13333333333333333,0.07016127,0.6029707,True,NK cell vs cDC,NK cell,cDC,2.1549019599857426
MMP14,0.9928,0.007199999999999984,4.926446829052988,2.526627e-07,4.2505317e-06,0.0,0.25,-4.2381725,-4.238388,2.0652015,-11.132442,6.605896,0.0,0.010256411,0.0,0.010256410256410256,0.0,0.034850385,True,NK cell vs cDC,NK cell,cDC,2.1426675035687324
ATP1A4,0.9928,0.007199999999999984,4.926446829052988,5.641348e-07,6.220239e-06,0.0,0.25,-3.7256587,-3.7734785,1.5266283,-8.933386,4.5006466,0.0007782101,0.015384615,0.0007782101167315176,0.015384615384615385,0.01638337,0.058210596,True,NK cell vs cDC,NK cell,cDC,2.1426675035687324
