,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
ABHD10,0.755,0.245,1.1254595111330052,4.1455696e-05,4.845715e-05,0.0,0.25,-0.28900814,-0.2590499,0.78544843,-3.5255556,2.582944,0.025680933,0.13846155,0.025680933852140077,0.12307692307692308,0.32845464,0.67884725,False,NK cell vs cDC,NK cell,cDC,0.6108339156354675
NIPA2,0.7542,0.24580000000000002,1.121139360267923,0.00018097846,0.00014369168,0.0,0.25,0.32034412,0.35869455,0.6544293,-2.591133,2.4842033,0.12529182,0.3948718,0.12140077821011673,0.30256410256410254,1.8171618,1.3866907,False,NK cell vs cDC,NK cell,cDC,0.6094181214495646
RFK,0.754,0.246,1.1200608046877871,9.1702896e-05,0.00012525564,0.0,0.25,-0.49974516,-0.48763847,0.6222483,-3.003707,1.9242411,0.051361866,0.33846155,0.05058365758754864,0.29743589743589743,0.75470734,1.2680055,False,NK cell vs cDC,NK cell,cDC,0.6090648928966209
NPM1,0.7538,0.24619999999999997,1.118982839731417,0.0039812387,0.0028590467,0.0,0.25,0.42140538,0.40860558,0.6620831,-2.3707995,2.636383,2.9797666,8.420513,0.8856031128404669,0.9641025641025641,41.02742,30.142954,False,NK cell vs cDC,NK cell,cDC,0.6087119514047026
EEF1B2,0.7524,0.24760000000000004,1.1114535295195156,0.0043978114,0.0043933867,0.0,0.25,-0.09389228,-0.11440849,0.7466753,-2.6228967,2.835247,3.1968873,12.005128,0.8972762645914397,0.9846153846153847,44.65251,44.45377,False,NK cell vs cDC,NK cell,cDC,0.6062493596519195
PEX10,0.752,0.248,1.1093075507601502,5.027436e-05,4.0859515e-05,0.0,0.25,0.24096723,0.27080345,0.8217393,-4.1591377,4.7448826,0.042023346,0.14358975,0.04124513618677043,0.1282051282051282,0.55994445,0.45724258,False,NK cell vs cDC,NK cell,cDC,0.6055483191737837
CDC123,0.751,0.249,1.1039527284543647,0.00025201964,0.00020075311,0.0,0.25,0.32171652,0.3112917,0.7603543,-2.3324938,3.2109766,0.17509727,0.5589744,0.16264591439688716,0.39487179487179486,2.4214,2.1785686,False,NK cell vs cDC,NK cell,cDC,0.6038006529042637
COX15,0.7502,0.24980000000000002,1.0996792132540634,6.7731824e-05,6.0264803e-05,0.0,0.25,0.10522427,0.1078763,0.78171676,-2.85359,3.111022,0.039688718,0.18461539,0.03735408560311284,0.17435897435897435,0.5732828,0.6508856,False,NK cell vs cDC,NK cell,cDC,0.6024075659618833
R3HDM1,0.7498,0.2502,1.097545879637866,7.679729e-05,6.431168e-05,0.0,0.25,0.2155676,0.16020727,0.8350741,-2.3633223,4.079175,0.047470815,0.15897436,0.045914396887159536,0.14871794871794872,0.67074895,0.5863032,False,NK cell vs cDC,NK cell,cDC,0.6017126946425989
DNAJC13,0.7486,0.25139999999999996,1.0911594728952039,7.775634e-05,9.2538576e-05,0.0,0.25,-0.330051,-0.3047657,0.74648523,-3.7997618,2.2324152,0.039688718,0.1897436,0.03735408560311284,0.17435897435897435,0.5730038,0.7226226,False,NK cell vs cDC,NK cell,cDC,0.5996347266500611
