Geneid,DZQV_mDC_rep4,925L_mDC_rep2,9JD4_mDC_rep1,G4YW_mDC_rep3,DZQV_NK_rep4,925L_NK_rep2,9JD4_NK_rep1,G4YW_NK_rep3
AP001993.1,0,0,0,0,0,0,0,0
AP003121.1,0,0,0,0,0,0,0,0
LINC02712,0,0,0,0,0,0,0,0
LINC02725,0,0,0,0,0,19,5,33
LINC02098,0,0,0,0,0,0,0,0
ETS1,34,47,18,11,2312,3123,3986,3076
ETS1-AS1,0,0,0,0,0,0,0,0
AP001122.1,0,0,0,0,10,0,3,13
FLI1,2432,2896,3582,1833,1360,2830,2678,3692
SENCR,19,8,42,18,8,28,14,45
KCNJ1,51,17,32,10,7,75,55,20
KCNJ5,0,1,0,4,0,0,0,0
C11orf45,14,1,30,29,0,0,0,10
TP53AIP1,0,0,0,0,0,0,0,0
ARHGAP32,200,394,318,165,12,1,31,64
BARX2,0,0,0,0,0,0,0,0
AP003500.1,0,0,0,0,0,0,0,0
LINC01395,0,0,0,0,0,0,0,0
AP003327.2,0,0,0,0,0,0,0,0
TMEM45B,11,0,2,4,1,4,3,1
NFRKB,613,548,482,549,597,920,558,687
PRDM10,137,69,151,112,171,281,133,274
LINC00167,9,20,7,0,2,4,7,8
APLP2,8589,9762,10871,12067,3648,4198,2894,2478
ST14,586,692,626,524,27,0,0,14
ZBTB44,724,1029,829,633,2215,2700,1817,1825
ZBTB44-DT,0,0,0,1,0,1,1,6
ADAMTS8,1,0,0,0,0,27,14,9
ADAMTS15,0,0,0,0,0,0,0,0
C11orf44,0,0,0,0,0,0,0,0
AP003486.2,0,0,0,0,0,0,0,0
LINC02551,2,18,10,10,4,12,9,27
AP003486.1,38,271,101,81,142,70,27,139
SNX19,1145,1075,1244,1157,913,1311,887,1140
AP002856.3,0,0,0,0,0,0,0,0
AP002856.1,0,0,0,0,0,0,0,0
AP002856.4,0,0,0,0,0,0,0,0
AP002856.2,0,0,0,0,0,0,0,0
NTM,0,0,1,0,0,0,0,0
AP003025.1,0,0,0,0,0,0,0,0
AP003025.2,0,0,0,0,0,0,0,0
NTM-AS1,0,0,0,0,0,0,0,0
AP000844.2,0,0,0,0,0,0,0,0
AP000844.1,0,0,0,0,0,0,0,0
NTM-IT,0,0,0,0,0,0,0,0
OPCML,0,0,0,0,0,0,0,0
OPCML-IT2,0,0,0,0,0,0,0,0
OPCML-IT1,0,0,0,0,0,0,0,0
AP004606.1,0,0,0,0,0,0,0,0
LINC02743,0,0,0,0,0,0,0,0
SPATA19,0,0,0,0,0,0,0,0
