"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PEX10",111.81753300793,-0.574773289669715,0.364821701384461,0.0901328511533349,0.1725278392294
"PLCH2",71.6176808308899,6.62271770145039,0.893728196393744,2.21421748419046e-14,3.2289381307915e-13
"AL139246.1",0.746643279442398,0.256037469752166,1.05560414150035,0.375262624067925,NA
"AL139246.4",0.110102080649407,0.146196502999083,1.01527160009931,0.840423703459905,NA
"PANK4",360.050466452107,0.341250506850276,0.237465355805925,0.13977338756595,0.243237581113827
"HES5",0,NA,NA,NA,NA
"AL139246.5",16.3013372048991,-0.0706944369277176,0.659109133934089,0.88560428093016,0.928741377834376
"TNFRSF14-AS1",74.9468409203741,1.59184761682567,0.396572542268623,1.73665190814485e-05,8.99875290228121e-05
"TNFRSF14",2068.22273308434,0.244142284031091,0.211082075537627,0.231028326982726,0.354997514394285
"AL139246.3",3.9278852502339,-0.184295576126516,0.942616985611757,0.640479964366035,0.752505820159118
"PRXL2B",215.817783688771,0.391603800242995,0.271701490362266,0.134754037502434,0.236361100546326
"MMEL1",0,NA,NA,NA,NA
"AL831784.1",0,NA,NA,NA,NA
"TTC34",19.6860969415178,0.548408457797496,0.945299406572786,0.298096005703078,0.432254178709369
"AC242022.2",0,NA,NA,NA,NA
"AC242022.1",0,NA,NA,NA,NA
"AL592464.2",0,NA,NA,NA,NA
"AL592464.3",0,NA,NA,NA,NA
"AL592464.1",0,NA,NA,NA,NA
"AL589702.1",0,NA,NA,NA,NA
"ACTRT2",0,NA,NA,NA,NA
"PRDM16-DT",0,NA,NA,NA,NA
"PRDM16",2.8003107540514,0.495974339931744,1.16063996299527,0.104108626953136,0.193725035758125
"AL008733.1",0,NA,NA,NA,NA
"AL590438.1",0,NA,NA,NA,NA
"AL354743.2",0,NA,NA,NA,NA
"AL354743.1",0,NA,NA,NA,NA
"ARHGEF16",0,NA,NA,NA,NA
"AL512413.1",0,NA,NA,NA,NA
"MEGF6",37.7428437154567,-1.16417578784342,0.526461041766283,0.0109868080890636,0.0297848352181924
"AL513320.1",0.104880026948116,0.144223854870853,1.01486138632239,0.840423703459905,NA
"TPRG1L",121.501363092496,0.0788564555662063,0.349230363010116,0.812222781178923,0.880480356668545
"WRAP73",764.516882142456,0.0692572418089092,0.232573487392369,0.762027590024609,0.84500642892655
"TP73",15.3781209552256,-0.243793647447384,0.647634810659224,0.625436355558848,0.740766724796696
"AL136528.1",0,NA,NA,NA,NA
"AL136528.2",0,NA,NA,NA,NA
"CCDC27",29.1073357372511,0.568020024676701,0.517205298741142,0.204860113249876,0.32495052446532
"SMIM1",0.942160719965347,0.219938037461037,0.977243195785795,0.544881543217584,NA
"LRRC47",392.39599624485,0.0775885886684398,0.340837218131954,0.811789743436383,0.880267500855907
"AL365330.1",5.80310918764102,0.841601432502471,1.09530242473441,0.144570774143575,0.249705898134236
"CEP104",298.005493651271,-0.172307962250831,0.260662873161514,0.492496716524072,0.627166398135689
"DFFB",263.094394651064,0.639492264874518,0.250572668484565,0.00835776262852698,0.0235311264644756
"C1orf174",761.604241539806,0.827767567814643,0.390521437731258,0.0214637278986814,0.0527473150716842
"LINC01134",2.57533114559288,0.277350304244156,0.981109949680809,0.47329072842533,0.610793708030641
"LINC01346",0,NA,NA,NA,NA
"LINC01345",0,NA,NA,NA,NA
"LINC02780",0,NA,NA,NA,NA
"AL805961.1",0,NA,NA,NA,NA
"LINC01777",0,NA,NA,NA,NA
"AL355602.1",0,NA,NA,NA,NA
"Z98747.1",0,NA,NA,NA,NA
"LINC01646",0,NA,NA,NA,NA
"AJAP1",0,NA,NA,NA,NA
"Z98886.1",1.04880026948116,0.268395367245711,1.06302335410176,0.299684684221083,NA
"BX005132.1",0,NA,NA,NA,NA
"LINC02781",0,NA,NA,NA,NA
"LINC02782",0,NA,NA,NA,NA
"AL139823.1",0,NA,NA,NA,NA
"Z98259.3",0,NA,NA,NA,NA
"Z98259.2",0,NA,NA,NA,NA
"Z98259.1",0,NA,NA,NA,NA
"AL365255.1",0.214982107597524,0.192294056232231,1.02684481002908,0.69526423429832,NA
"NPHP4",124.932631575696,-0.851116685957656,0.385137470867652,0.0165613085524838,0.0422772903853394
"KCNAB2",4534.26131323665,0.364779054919092,0.176654779366638,0.0359661315813758,0.0815429279438585
"CHD5",0.729681299149607,0.151901215950615,1.00441154258676,0.56233435205321,NA
"RPL22",902.972588145832,-1.43734583520862,0.24740992793871,2.19403208541343e-09,1.95525138551943e-08
"AL031847.1",0,NA,NA,NA,NA
"RNF207",10.2589876792508,0.469639413509728,0.783809844354129,0.382095503638221,0.523519375987891
"ICMT",568.490730652934,0.390842286586498,0.341935902409583,0.225175742067751,0.348630451008708
"LINC00337",1.35951312022747,0.283890426932981,1.0469336964413,0.311223066879451,NA
"HES3",0.112626750360043,-0.154513472221017,1.01768884105003,0.836090495513645,NA
"GPR153",15.8873272175786,3.0551560159843,1.23905778475025,0.000983807032834992,0.00353041881304917
"ACOT7",113.811747384106,0.741041069048597,0.52384140339263,0.101244384941931,0.189484903928017
"AL031848.2",0,NA,NA,NA,NA
"HES2",0,NA,NA,NA,NA
"ESPN",0.424742161493756,0.231793244291899,1.04278462282675,0.516251218939756,NA
"AL031848.1",0,NA,NA,NA,NA
"TNFRSF25",191.313041603734,1.80679784492511,0.35299150439411,7.39248800947466e-08,5.47738708889935e-07
"PLEKHG5",1.34053139622786,0.275265242353637,1.06741320521759,0.253637315457824,NA
"NOL9",370.047013701561,0.70547151981958,0.299066794427276,0.0134287638133912,0.0353628510242354
"TAS1R1",1.17228005902347,-0.113900623471424,0.990765200197949,0.67570159081345,NA
"ZBTB48",526.948571221742,-0.453711657021038,0.181467085091701,0.0109214303990893,0.029640066513481
"KLHL21",665.925157637814,0.29076685854831,0.385088231948999,0.413167418385075,0.554078321418441
"PHF13",109.697017691509,1.78219057538108,0.407865806132179,2.9653304994722e-06,1.75286056107384e-05
"THAP3",134.659352697126,0.0997992176163182,0.277167641818452,0.70983745242077,0.806625654337188
"DNAJC11",517.38663933611,-0.324077945886985,0.19304576635278,0.0866800685804947,0.166938073588376
"LINC01672",0,NA,NA,NA,NA
"AL591163.1",0,NA,NA,NA,NA
"CAMTA1-DT",0.765950057235354,-0.205054416455798,1.00459136253643,0.484422445351735,NA
"CAMTA1",92.0766514832,-0.493093004037331,0.384983178951745,0.164702688039756,0.276167251776122
"AL512330.1",0,NA,NA,NA,NA
"CAMTA1-IT1",0,NA,NA,NA,NA
"Z97987.1",0.394829338607687,0.225873145237347,1.04008934034849,0.543063044789936,NA
"AL365194.1",0,NA,NA,NA,NA
"AL359881.3",0,NA,NA,NA,NA
"AL359881.2",0,NA,NA,NA,NA
"AL359881.1",0.367559990648194,-0.226620593935845,1.04086299164347,0.55937941383803,NA
"VAMP3",1351.06076615941,-1.37169354278248,0.190958209782626,2.58022178667885e-13,3.4295752473363e-12
"Z98884.2",6.89964536275473,0.61884736853717,1.00690731223303,0.239299969080629,0.364543978872179
"PER3",178.264566663733,1.11371207390687,0.404246110601496,0.00277878122575437,0.00887847566308445
"Z98884.1",5.52516254690454,0.996814374818784,1.81632583863026,0.0186141483560395,0.0467545953354055
"UTS2",185.826043575306,0.362014253775619,0.957486072669254,0.432884555046867,0.57367443363364
"TNFRSF9",64.2751149420934,0.000828517708667647,0.717545420263309,0.996146328985331,0.997383001807898
"PARK7",784.464553771535,-1.033684069398,0.175162277829896,1.98048905179964e-09,1.77167867131438e-08
"AL034417.4",5.36191643413925,5.77846634698932,3.14797887800249,0.0010732945477283,0.00381651990749616
"AL034417.3",0.787619693812373,0.258455518874043,1.05700245775531,0.361667377115488,NA
"ERRFI1",34.651065451302,1.72243011504806,0.729177900091959,0.00370491079218839,0.011453428718134
"AL034417.2",0,NA,NA,NA,NA
"LINC01714",0,NA,NA,NA,NA
"AL358876.2",0,NA,NA,NA,NA
"SLC45A1",12.9246770100519,1.35480208727674,1.09495286414896,NA,NA
"RERE",393.879987288519,-1.64475345745663,0.27306944193757,4.82459273325193e-10,4.64110489070591e-09
"RERE-AS1",10.0338156308945,-1.05376597431136,0.894847908618719,0.0828685015188651,0.160935020333822
"AL357552.2",29.3839824732287,0.706158388186773,0.491288158165269,0.102207937437585,0.190869509435681
"ENO1",12864.3764670821,-1.30808683172353,0.19064432951179,2.77121003208023e-12,3.36634756518329e-11
"ENO1-AS1",2.51834314155899,0.0825665030693979,0.90772316332039,0.846565334246079,0.903441515005053
"CA6",0.131609779535896,0.153467736954809,1.01688427964779,0.840423703459905,NA
"SLC2A7",0,NA,NA,NA,NA
"SLC2A5",2.41723624158772,-0.415574776643514,1.14034755905589,0.101350227867509,0.189624923463127
"GPR157",44.5418101570975,-3.27989889559103,0.838301140322158,8.13217128231205e-06,4.47579444652295e-05
"MIR34AHG",12.8224564614316,1.96280839358969,2.36329049338324,0.0170131480359296,0.0432776853264199
"LNCTAM34A",0,NA,NA,NA,NA
"H6PD",327.620159485642,0.476446536585195,0.22937168876597,0.0329315546522678,0.0756961932288748
"SPSB1",7.78154817827476,0.649292568466896,0.972497675457517,0.233999938396956,0.358545898345912
"BX323043.1",0.104880026948116,0.144223854870853,1.01486138632239,0.840423703459905,NA
"LINC02606",0.345915552025826,0.0482194720984591,0.98495456339121,0.85603884224874,NA
"AL928921.1",0,NA,NA,NA,NA
"SLC25A33",70.7947089051818,-1.44854158873549,0.551702785242414,0.00256854232822357,0.00829000901394668
"TMEM201",59.9370638510886,-0.53450994474485,0.346123952234778,0.0994724103644356,0.186932832454163
"PIK3CD",4552.17087509378,0.604870110569737,0.175417233081435,0.000458952252189813,0.00178854150105864
"PIK3CD-AS1",21.7421215387031,0.38254877978161,0.789812855835011,0.470300277455127,0.608185461812019
"PIK3CD-AS2",12.3126425736121,0.994336938311181,0.705620311899991,0.070191381551596,0.140637541257644
"CLSTN1",636.111128549051,0.637007891549672,0.303963539456111,0.0278869695401651,0.0656464730168389
"CTNNBIP1",186.917572018721,-0.83305938235366,0.345770635104985,0.0101567181887564,0.0278523212984483
"AL357140.1",0,NA,NA,NA,NA
"AL357140.4",8.92593384291932,0.00215861529256011,0.74667657172344,0.999579905052621,0.999739709993477
"LZIC",329.893079923927,0.187039356722401,0.274726149909018,0.480991407671371,0.617495235911784
"AL357140.2",3.10551642907447,-0.0408829095152159,0.869849771141134,0.925942171160152,0.955314137634404
"NMNAT1",125.287654541333,-0.879957554134266,0.305061819846728,0.00240430164864636,0.00781518156700339
"AL603962.1",0,NA,NA,NA,NA
"RBP7",2.42925334013732,-0.735117746424897,1.41871810574961,0.0445917091401971,0.0972006036170986
"UBE4B",609.307590696597,0.186362513831469,0.285077760153454,0.497677997353303,0.632134586784434
"KIF1B",364.311526319301,0.615480367603726,0.356955720563469,0.0652905788322024,0.132659259881214
"AL139424.3",3.19428572026256,0.162064249615021,0.805103587068899,0.748058387608373,0.83464477846941
"AL139424.2",2.54378670362212,-0.207221674143142,0.958703123372406,0.58834058412548,0.710460435134925
"PGD",1860.50240144575,-2.05546713057751,0.259162436540969,4.21702598355499e-16,7.07284572469706e-15
"AL139424.1",0.104880026948116,0.144223854870853,1.01486138632239,0.840423703459905,NA
"CENPS",19.7160832704413,0.0612611649370702,0.585103324231286,0.9008525704325,0.939030903834149
"CORT",4.52670110198735,-0.781240198031584,1.30966472863366,0.0960181306804278,0.181458894029833
"DFFA",452.714500884992,-0.110729311159383,0.219716076866088,0.604204447727221,0.72296519444976
"AL354956.1",0,NA,NA,NA,NA
"PEX14",145.565909856428,0.366682601959084,0.243098586521045,0.120670090159893,0.216887210507649
"AL139423.2",9.35909439354264,1.09310513625459,1.14711322141911,0.08413560190579,0.163041505066378
"CASZ1",72.6812665396639,2.48895715446627,0.499157501115824,8.78175508218117e-08,6.44567772320595e-07
"AL139423.1",3.99480676395504,0.352763987965471,0.924332278203205,0.459751628856597,0.598242929828465
"C1orf127",43.0445107567458,-4.74129240474316,0.99579951874642,1.64734281380071e-07,1.17111098217469e-06
"TARDBP",2886.97461766869,-0.097489302475872,0.182720346631618,0.585374519244146,0.70773290810653
"MASP2",30.5875877351505,-0.0399763412343019,0.546053796848504,0.928573763245091,0.956975036438628
"AL109811.2",150.298355109679,-0.201944308137375,0.344166574185192,0.530924134328897,0.661294408885369
"SRM",60.4278401352096,-1.99678659393552,0.731491484732183,0.00102164858874343,0.0036529435537315
"EXOSC10",1511.56126084224,0.41049311804213,0.169683034093779,0.014169165315771,0.0370905209478059
"AL109811.1",11.0959627574943,1.09629722088768,0.720820613240886,0.0502779461714618,0.107010262388977
"EXOSC10-AS1",0.225253500720087,-0.199807485486224,1.02994261366584,0.690771057004207,NA
"MTOR",912.863782293507,0.626308001534686,0.213439474464524,0.00265911900496852,0.00852954118701916
"MTOR-AS1",12.082336350148,0.205461891726955,0.62323540244789,0.680173799427163,0.784555458647225
"ANGPTL7",8.41528251740121,-0.0989970346193959,0.72309096025677,0.843971740374422,0.901722738434883
"UBIAD1",623.9911014094,0.155442663286295,0.209589014873558,0.449726909034826,0.588804797976738
"AL031291.1",0,NA,NA,NA,NA
"DISP3",7.3163082786067,0.726443889254449,1.21111690244178,0.132203524388557,0.232998004105967
"AL590989.1",0,NA,NA,NA,NA
"LINC01647",0,NA,NA,NA,NA
"AL031731.1",2.25992315662464,0.405455525185438,1.13236854584832,0.11265888021147,0.205639162012144
"FBXO2",11.2413124861754,7.70686120043746,2.83770245127338,7.88085334856556e-07,5.06187048753862e-06
"FBXO44",589.603215970103,1.59308389057938,0.31747108368177,1.55820950305509e-07,1.11069031345758e-06
"FBXO6",707.575244505854,-0.118298346304151,0.345744686273308,0.71854200405682,0.813414339353302
"MAD2L2",396.707583367578,-0.242474901998043,0.252469096782977,0.320189182905416,0.456825091064826
"DRAXIN",112.912300997962,7.63337490992899,0.898789866471549,8.08913121210877e-18,1.56190138465903e-16
"AGTRAP",1230.45520186603,-0.0486817376173558,0.2560958100377,0.841518521818121,0.900383080638646
"C1orf167",0.708929824080322,-0.0082613960483563,0.977834285217858,0.977777469631428,NA
"AL953897.1",0,NA,NA,NA,NA
"MTHFR",805.216188049211,-0.181322170590737,0.160335622865836,0.251263202917059,0.378939519922799
"CLCN6",469.783839124745,-0.398645707294105,0.210126202327187,0.0520859193534371,0.110195979531655
"NPPA",2.50096780375761,1.17856609289559,1.7885644776022,0.0373259613992395,0.084045037126813
"NPPB",0.484939580457941,-0.240314551156879,1.04757750237194,0.481579366847904,NA
"AL021155.5",13.790596700837,-0.958582240699942,0.995836945720881,0.112519372818775,0.205431207930746
"KIAA2013",218.100322558988,-0.477475131109073,0.315935758931014,0.110582289853839,0.2029342344751
"PLOD1",1887.47940684598,0.805390071177652,0.25436624822519,0.00107482399157962,0.0038197872891434
"AL096840.2",0.112626750360043,-0.154513472221017,1.01768884105003,0.836090495513645,NA
"MFN2",1481.39847588973,0.347927666402335,0.190728763442902,0.0634591425959513,0.129541134244161
"MIIP",713.639658654733,-0.58678014612026,0.24330461550435,0.0127307639673779,0.0337611964899929
"TNFRSF8",60.7692080608022,-1.3201704803277,1.7064287967126,0.0395418139474083,0.0880333053576463
"AL357835.1",0,NA,NA,NA,NA
"TNFRSF1B",6391.88937672248,0.0291596188330148,0.34001958979936,0.928866194518908,0.957066194824643
"VPS13D",943.087326200725,0.392017460242968,0.222990148142247,0.0716766279527008,0.143033168890621
"LINC02766",3.80078693866434,-1.60682576375284,5.38177634184288,0.0110712080017749,0.0299746727895718
"DHRS3",1651.96527662618,1.17631506054427,0.316054612946978,9.3550335509282e-05,0.000420475753950658
"AC254633.1",0.507274562223029,-0.0997785444735522,0.991664878792434,0.711322914417813,NA
"AADACL4",0,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA
"C1orf158",0,NA,NA,NA,NA
"PRAMEF12",0,NA,NA,NA,NA
"PRAMEF1",0,NA,NA,NA,NA
"LINC01784",0,NA,NA,NA,NA
"PRAMEF11",0,NA,NA,NA,NA
"HNRNPCL1",0.236489806484012,0.196580223049896,1.02836479391916,0.686475950868469,NA
"PRAMEF2",0,NA,NA,NA,NA
"PRAMEF4",0,NA,NA,NA,NA
"PRAMEF10",0,NA,NA,NA,NA
"PRAMEF7",0,NA,NA,NA,NA
"PRAMEF6",0,NA,NA,NA,NA
"PRAMEF27",0,NA,NA,NA,NA
"HNRNPCL3",0,NA,NA,NA,NA
"PRAMEF25",0,NA,NA,NA,NA
"HNRNPCL2",0.131609779535896,0.153467736954809,1.01688427964779,0.840423703459905,NA
"AC245056.1",0,NA,NA,NA,NA
"PRAMEF26",0,NA,NA,NA,NA
"HNRNPCL4",0,NA,NA,NA,NA
"PRAMEF9",0,NA,NA,NA,NA
"PRAMEF13",0,NA,NA,NA,NA
"PRAMEF18",0,NA,NA,NA,NA
"PRAMEF5",0,NA,NA,NA,NA
"PRAMEF8",0,NA,NA,NA,NA
"PRAMEF33",0,NA,NA,NA,NA
"PRAMEF15",0,NA,NA,NA,NA
"AC243961.1",0,NA,NA,NA,NA
"PRAMEF14",0,NA,NA,NA,NA
"PRAMEF19",0,NA,NA,NA,NA
"PRAMEF17",0,NA,NA,NA,NA
"PRAMEF20",0,NA,NA,NA,NA
"LRRC38",0,NA,NA,NA,NA
"AL354712.1",0,NA,NA,NA,NA
"PDPN",0,NA,NA,NA,NA
"AL359771.1",0,NA,NA,NA,NA
"PRDM2",1482.85705976744,0.831785111438215,0.240145517144177,0.000356936570467384,0.00141987824386008
"KAZN",0.655390430195154,0.251468108225763,1.05299652052021,0.404250461857922,NA
"AL357873.1",0.545288349545746,0.243562102056999,1.04870876851022,0.450188965134339,NA
"KAZN-AS1",0.534844242143164,0.24280999091827,1.04830936285891,0.454815484174917,NA
"AL031293.1",0,NA,NA,NA,NA
"TMEM51-AS1",1.78939465630907,-0.524905849824313,1.16032718337902,0.145971823020328,0.251517561636327
"TMEM51",12.1169306300522,-7.98557705447544,2.86487418637363,8.04973528166391e-08,5.93391326654628e-07
"C1orf195",0.40846649438878,-0.230954853408788,1.04293301187472,0.532577470336661,NA
"FHAD1",17.0388519786437,3.33593322031173,0.869463616266803,1.2216631935793e-05,6.52480785916229e-05
"AL031283.2",0,NA,NA,NA,NA
"AL031283.3",0,NA,NA,NA,NA
"AL031283.1",79.8822291119152,7.1374399057066,0.838546346456564,9.09532290845942e-18,1.75077969585607e-16
"EFHD2",1649.35159992586,0.226834336178924,0.229916945125023,0.313030487528867,0.448915426754931
"CTRC",10.1891353897257,0.297605339672765,0.748100254557174,0.570007206823092,0.694939278787566
"CELA2A",2.14325457010049,0.124495873640355,0.970527786254559,0.705479458083093,0.803487616392054
"CELA2B",4.20548979962808,-0.0553611361681408,0.791064941590246,0.909649169710414,0.945100510248287
"CASP9",431.799531343659,-0.605076520643216,0.199792050979705,0.00196013192106961,0.00651918410324906
